,Candidate,Party,Criminal.Cases,Education,Age,Total.Assets,Liabilities,Constituency,State,District,Year
3390,anglam Sawin,BJP,0,12th Pass,50,8440122,0,KHONSA EAST,ARUNACHAL PRADESH,TIRAP,2019
3391,Tirong Aboh,NPP,0,12th Pass,45,105630000,0,KHONSA WEST,ARUNACHAL PRADESH,TIRAP,2019
3392,Chakat Aboh,IND,0,12th Pass,42,21256410,0,KHONSA WEST (ST),ARUNACHAL PRADESH,TIRAP,2019
3393,angki Lowang,BJP,0,Post Graduate,57,55769110,0,NAMSANG,ARUNACHAL PRADESH,TIRAP,2019
3394,Kanggong Taku,JD(U),0,12th Pass,47,246247400,0,MARIYANG-GEKU,ARUNACHAL PRADESH,UPPER SIANG,2019
3395,Sri Alo Libang,BJP,0,Graduate,55,22178806,0,TUTING YINGKIONG,ARUNACHAL PRADESH,UPPER SIANG,2019
3396,Tanya Soki,BJP,2,Graduate,55,197845942,59633858,DAPORIJO,ARUNACHAL PRADESH,UPPER SUBANSIRI,2019
3397,Rode Bui,BJP,0,10th Pass,47,170000,0,DUMPORIJO,ARUNACHAL PRADESH,UPPER SUBANSIRI,2019
3398,Nakap Nalo,BJP,0,Post Graduate,44,14591643,0,NACHO,ARUNACHAL PRADESH,UPPER SUBANSIRI,2019
3399,Tarin Dakpe,NPP,2,Graduate,62,140981470,0,RAGA,ARUNACHAL PRADESH,UPPER SUBANSIRI,2019
3400,Nyato Rigia,BJP,0,Graduate,53,1175000,0,TALIHA,ARUNACHAL PRADESH,UPPER SUBANSIRI,2019
3401,Dongru Siongju,JD(U),0,8th Pass,51,12844710,0,BOMDILA,ARUNACHAL PRADESH,WEST KAMENG,2019
3402,Phurpa Tsering,BJP,0,12th Pass,48,100795971,9486685,DIRANG,ARUNACHAL PRADESH,WEST KAMENG,2019
3403,Dorjee Wangdi Kharma,JD(U),0,Post Graduate,57,14706437,0,KALAKTANG,ARUNACHAL PRADESH,WEST KAMENG,2019
3404,Kumsi Sidisow,BJP,1,Graduate,37,46311593,8.00E+05,THRIZINO-BURAGAON,ARUNACHAL PRADESH,WEST KAMENG,2019
3405,Kento Jini,BJP,0,Graduate Professional,43,81078422,902254,ALONG EAST,ARUNACHAL PRADESH,WEST SIANG,2019
3406,Tumke Bagra,BJP,0,Graduate Professional,64,77744570,0,ALONG WEST,ARUNACHAL PRADESH,WEST SIANG,2019
3407,Gokar Basar,NPP,1,Graduate,33,10698893,1999518,BASAR,ARUNACHAL PRADESH,WEST SIANG,2019
3408,Kardo Nyigyor,Peoples Party of Arunachal,0,10th Pass,45,74119724,0,LIKABALI,ARUNACHAL PRADESH,WEST SIANG,2019
3409,Nyamar Karbak,BJP,0,Post Graduate,39,18599000,0,LIROMOBA,ARUNACHAL PRADESH,WEST SIANG,2019
3410,Anil Vij,BJP,0,Graduate,66,11741904,1380110,AMBALA CANTT,HARYANA,AMBALA,2019
3411,Aseem Goel,BJP,0,Graduate,39,56392766,3884405,AMBALA CITY,HARYANA,AMBALA,2019
3412,Varun Chaudhary,INC,0,Graduate Professional,39,66126079,5357194,MULLANA (SC),HARYANA,AMBALA,2019
3413,Shalley,INC,0,8th Pass,53,534962557,840000,NARAINGARH,HARYANA,AMBALA,2019
3414,Bishamber Singh,BJP,0,Graduate,49,10918111,2759356,BAWANI KHERA (SC),HARYANA,BHIWANI,2019
3415,Ghanshyam Saraf,BJP,0,Graduate,55,81297992,19742214,BHIWANI,HARYANA,BHIWANI,2019
3416,Jai Parkash Dalal,BJP,0,Graduate,63,767585665,60142041,LOHARU,HARYANA,BHIWANI,2019
3417,Kiran Choudhry,INC,0,Graduate Professional,64,513606000,6995000,TOSHAM,HARYANA,BHIWANI,2019
3418,Naina Singh,Jannayak Janta Party,0,Graduate,52,917862545,43255066,BADHRA,HARYANA,CHARKHI DADRI,2019
3419,Sombir,IND,10,10th Pass,52,11022712,0,DADRI,HARYANA,CHARKHI DADRI,2019
3420,Seema Trikha,BJP,0,Graduate Professional,53,24523158,1840000,BADHKAL,HARYANA,FARIDABAD,2019
3421,Mool Chand Sharma,BJP,0,Post Graduate,55,124458622,4700000,BALLABGARH,HARYANA,FARIDABAD,2019
3422,Narender Gupta,BJP,0,Graduate,59,585838697,10622200,FARIDABAD,HARYANA,FARIDABAD,2019
3423,Neeraj Sharma,INC,0,Graduate,47,102176368,10651571,FARIDABAD NIT,HARYANA,FARIDABAD,2019
3424,Nayan Pal Rawat,IND,0,Post Graduate,48,27964072,4383386,PRITHLA,HARYANA,FARIDABAD,2019
3425,Rajesh Nagar,BJP,0,12th Pass,50,103711698,22500000,TIGAON,HARYANA,FARIDABAD,2019
3426,Dura Ram,BJP,0,10th Pass,60,179131865,7993126,FATEHABAD,HARYANA,FATEHABAD,2019
3427,Lakshman Dass,BJP,0,Graduate Professional,52,6624821,2192532,RATIA (SC),HARYANA,FATEHABAD,2019
3428,Devender Singh Babli,Jannayak Janta Party,0,12th Pass,49,360798200,169689,TOHANA,HARYANA,FATEHABAD,2019
3429,Rakesh Janghu (Rakesh Daultabad),IND,1,10th Pass,39,664141372,196335997,BADSHAHPUR,HARYANA,GURGAON,2019
3430,Sudhir Singla,BJP,0,Graduate Professional,53,32688490,0,GURGAON,HARYANA,GURGAON,2019
3431,Satya Parkash,BJP,0,Post Graduate,52,4564437,260000,PATAUDI (SC),HARYANA,GURGAON,2019
3432,Sanjay Singh,BJP,0,Graduate,44,66788797,1600000,SOHNA,HARYANA,GURGAON,2019
3433,Kuldeep Bishnoi,INC,0,Graduate,51,1055442180,106530132,ADAMPUR,HARYANA,HISAR,2019
3434,Bhavya Bishnoi,BJP,2,Post Graduate,29,104521268,40362303,ADAMPUR,HARYANA,HISAR,2019
3435,Jogi Ram Sihag,Jannayak Janta Party,0,12th Pass,58,244436461,7090663,BARWALA,HARYANA,HISAR,2019
3436,Vinod Bhayana,BJP,1,Graduate,62,36852597,4986055,HANSI,HARYANA,HISAR,2019
3437,Dr. Kamal Gupta,BJP,0,Post Graduate,66,31738469,6180000,HISAR,HARYANA,HISAR,2019
3438,Ranbir Gangwa,BJP,0,12th Pass,55,91267179,7639057,NALWA,HARYANA,HISAR,2019
3439,Ram Kumar Gautam,Jannayak Janta Party,0,Graduate Professional,73,62667293,0,NARNAUND,HARYANA,HISAR,2019
3440,Anoop Dhanak,Jannayak Janta Party,0,Graduate,46,13889863,4290059,UKLANA (SC),HARYANA,HISAR,2019
3441,Kuldeep Vats,INC,0,10th Pass,44,42799191,2604401,BADLI,HARYANA,JHAJJAR,2019
3442,Rajinder Singh Joon,INC,0,Graduate,63,492636098,1.00E+06,BAHADURGARH,HARYANA,JHAJJAR,2019
3443,Dr. Raghuvir Singh Kadian,INC,0,Doctorate,75,163897070,16362965,BERI,HARYANA,JHAJJAR,2019
3444,Geeta Bhukkal,INC,0,Post Graduate,51,64447736,16635000,JHAJJAR (SC),HARYANA,JHAJJAR,2019
3445,Dr. Krishan Lal Middha,BJP,0,Graduate Professional,49,26675866,2516106,JIND,HARYANA,JIND,2019
3446,Amarjeet Dhanda,Jannayak Janta Party,0,12th Pass,36,48122174,16019128,JULANA,HARYANA,JIND,2019
3447,Ram Niwas,Jannayak Janta Party,0,Graduate,44,80844000,0,NARWANA (SC),HARYANA,JIND,2019
3448,Subhash Gangoli,INC,0,Post Graduate,51,185165179,25230513,SAFIDON,HARYANA,JIND,2019
3449,Dushyant Chautala,Jannayak Janta Party,0,Post Graduate,31,747701912,52043599,UCHANA KALAN,HARYANA,JIND,2019
3450,Ishwar Singh,Jannayak Janta Party,0,Post Graduate,69,20940983,8332613,GUHLA (SC),HARYANA,KAITHAL,2019
3451,Leela Ram,BJP,0,Post Graduate,58,49485476,5936607,KAITHAL,HARYANA,KAITHAL,2019
3452,Kamlesh Dhanda,BJP,0,12th Pass,52,26201500,3.00E+05,KALAYAT,HARYANA,KAITHAL,2019
3453,Randhir Singh Gollen,IND,0,Post Graduate,54,44789370,8237320,PUNDRI,HARYANA,KAITHAL,2019
3454,Shamsher Singh Gogi,INC,0,Graduate Professional,63,127376643,15164105,ASSANDH,HARYANA,KARNAL,2019
3455,Harvinder Kalyan,BJP,0,Graduate Professional,52,17366290,1880000,GHARAUNDA,HARYANA,KARNAL,2019
3456,Ram Kumar,BJP,0,Post Graduate,68,24295900,1770000,INDRI,HARYANA,KARNAL,2019
3457,Manohar Lal,BJP,0,Graduate,65,12700985,0,KARNAL,HARYANA,KARNAL,2019
3458,Dharam Pal Gonder,IND,0,12th Pass,62,9366502,0,NILOKHERI (SC),HARYANA,KARNAL,2019
3459,Mewa Singh,INC,0,Graduate,60,47783221,2356767,LADWA,HARYANA,KURUKSHETRA,2019
3460,Sandeep Singh,BJP,0,Graduate,33,28874402,3085000,PEHOWA,HARYANA,KURUKSHETRA,2019
3461,Ram Karan,Jannayak Janta Party,1,5th Pass,50,29335296,2610000,SHAHBAD (SC),HARYANA,KURUKSHETRA,2019
3462,Subhash Sudha,BJP,0,Graduate,55,56288874,3029710,THANESAR,HARYANA,KURUKSHETRA,2019
3463,Sitaram,BJP,0,10th Pass,57,31923056,2146403,ATELI,HARYANA,MAHENDRAGARH,2019
3464,Rao Dan Singh,INC,1,Post Graduate,63,157753370,2400000,MAHENDRAGARH,HARYANA,MAHENDRAGARH,2019
3465,Dr. Abhe Singh Yadav,BJP,0,Doctorate,64,95718784,896100,NANGAL CHAUDHRY,HARYANA,MAHENDRAGARH,2019
3466,Om Prakash Yadav,BJP,0,Graduate,63,15525670,6280000,NARNAUL,HARYANA,MAHENDRAGARH,2019
3467,Mamman Khan,INC,1,Graduate Professional,52,54458413,995494,FEROZEPUR JHIRKA,HARYANA,MEWAT,2019
3468,Aftab Ahmed,INC,0,Graduate Professional,53,72314656,0,NUH,HARYANA,MEWAT,2019
3469,Mohammad Ilyas,INC,0,Graduate,64,26102782,424844,PUNHANA,HARYANA,MEWAT,2019
3470,Praveen Dagar,BJP,0,Graduate,43,5701677,0,HATHIN,HARYANA,PALWAL,2019
3471,Jagdish Nayar,BJP,0,12th Pass,49,26015353,1140000,HODAL (SC),HARYANA,PALWAL,2019
3472,Deepak Mangla,BJP,0,Graduate Professional,52,223457640,13197259,PALWAL,HARYANA,PALWAL,2019
3473,Pardeep Chaudhary,INC,1,Graduate,58,153837901,9160203,KALKA,HARYANA,PANCHKULA,2019
3474,Gian Chand Gupta,BJP,0,12th Pass,71,122583242,3395217,PANCHKULA,HARYANA,PANCHKULA,2019
3475,Balbir Singh,INC,0,12th Pass,45,4085000,0,ISRANA (SC),HARYANA,PANIPAT,2019
3476,Parmod Kumar Vij,BJP,0,Graduate,64,484966263,0,PANIPAT CITY,HARYANA,PANIPAT,2019
3477,Mahipal Dhanda,BJP,0,Graduate,45,127210491,11580671,PANIPAT RURAL,HARYANA,PANIPAT,2019
3478,Dharam Singh Chhoker,INC,0,10th Pass,58,16425701,0,SAMALKHA,HARYANA,PANIPAT,2019
3479,Dr. Banwari Lal,BJP,0,Graduate Professional,62,27623337,1080000,BAWAL (SC),HARYANA,REWARI,2019
3480,Laxman Singh Yadav,BJP,0,10th Pass,59,39438254,5720000,KOSLI,HARYANA,REWARI,2019
3481,Chiranjeev Rao,INC,0,12th Pass,33,108023463,3392526,REWARI,HARYANA,REWARI,2019
3482,Bhupinder Singh Hooda,INC,7,Graduate Professional,72,156759836,1320000,GARHI SAMPLA-KILOI,HARYANA,ROHTAK,2019
3483,Shakuntla Khatak,INC,0,Graduate,51,39195053,3229470,KALANAUR (SC),HARYANA,ROHTAK,2019
3484,Balraj Kundu,IND,1,Graduate,48,1411984037,89674167,MEHEM,HARYANA,ROHTAK,2019
3485,Bharat Bhushan Batra,INC,0,Graduate Professional,67,111273220,14331524,ROHTAK,HARYANA,ROHTAK,2019
3486,Amit Sihag,INC,0,Graduate Professional,37,105189298,913926,DABWALI,HARYANA,SIRSA,2019
3487,Abhay Singh Chautala,INLD,2,10th Pass,54,666134010,7339894,ELLENABAD,HARYANA,SIRSA,2019
3488,Abhay Singh Chautala,INLD,2,10th Pass,58,654128857,15645319,ELLENABAD,HARYANA,SIRSA,2019
3489,Shishpal Singh,INC,0,Post Graduate,40,8355000,50997,KALANWALI (SC),HARYANA,SIRSA,2019
3490,Ranjit Singh,IND,0,Graduate,73,270842223,1639462,RANIA,HARYANA,SIRSA,2019
3491,Gopal Kanda,Haryana Lokhit Party,9,Others,54,954344837,783246994,SIRSA,HARYANA,SIRSA,2019
3492,Sri Krishan Hooda,INC,0,8th Pass,74,244916168,17251804,BARODA,HARYANA,SONIPAT,2019
3493,Indu Raj,INC,0,12th Pass,43,12050000,450000,BARODA,HARYANA,SONIPAT,2019
3494,Nirmal Rani,BJP,1,Post Graduate,51,883167284,1657120,GANAUR,HARYANA,SONIPAT,2019
3495,Jagbir Singh Malik,INC,0,Graduate Professional,69,56454783,2706500,GOHANA,HARYANA,SONIPAT,2019
3496,Jaiveer Singh,INC,0,10th Pass,56,10597750,0,KHARKHODA (SC),HARYANA,SONIPAT,2019
3497,Mohan Lal Badoli,BJP,0,10th Pass,57,151439133,25999478,RAI,HARYANA,SONIPAT,2019
3498,Surender Panwar,INC,0,12th Pass,50,275027609,79221342,SONIPAT,HARYANA,SONIPAT,2019
3499,Kanwar Pal,BJP,0,12th Pass,59,43175163,4023844,JAGADHARI,HARYANA,YAMUNANAGAR,2019
3500,Bishan Lal,INC,0,Graduate Professional,64,40176241,7212747,RADAUR,HARYANA,YAMUNANAGAR,2019
3501,Renu Bala,INC,0,12th Pass,39,22721464,2107000,SADHAURA (SC),HARYANA,YAMUNANAGAR,2019
3502,Ghanshyam Dass,BJP,0,Graduate Professional,67,83786666,6939821,YAMUNANAGAR,HARYANA,YAMUNANAGAR,2019
3503,Rajendra Prasad Singh,INC,0,12th Pass,73,134376381,0,BERMO,JHARKHAND,BOKARO,2019
3504,Biranchi Narayan,BJP,2,Others,48,20140834,74323,BOKARO,JHARKHAND,BOKARO,2019
3505,Amar Kumar Bauri,BJP,0,Post Graduate,41,8941038,207000,CHANDANKIYARI (SC),JHARKHAND,BOKARO,2019
3506,Lambodar Mahto,AJSU Party,0,Doctorate,53,19458105,0,GOMIA,JHARKHAND,BOKARO,2019
3507,Satyanand Bhokta,RJD,1,10th Pass,48,7758100,5200000,CHATRA (SC),JHARKHAND,CHATRA,2019
3508,Kishun Kumar Das,BJP,1,Graduate,49,34291803,0,SIMARIA (SC),JHARKHAND,CHATRA,2019
3509,Narayan Das,BJP,1,12th Pass,53,9942657,719789,DEOGHAR (SC),JHARKHAND,DEOGHAR,2019
3510,Haji Hussain Ansari,JMM,0,12th Pass,70,74206075,0,MADHUPUR,JHARKHAND,DEOGHAR,2019
3511,Hafizul Hassan,JMM,2,Others,46,19098193,4824543,MADHUPUR,JHARKHAND,DEOGHAR,2019
3512,Randhir Kumar Singh,BJP,3,10th Pass,45,50651958,1918689,SARATH,JHARKHAND,DEOGHAR,2019
3513,Dulu Mahato,BJP,4,12th Pass,44,33355483,4422845,BAGHMARA,JHARKHAND,DHANBAD,2019
3514,Raj Sinha,BJP,0,Post Graduate,57,36781891,607472,DHANBAD,JHARKHAND,DHANBAD,2019
3515,Purnima Niraj Singh,INC,0,Post Graduate,34,19839990,0,JHARIA,JHARKHAND,DHANBAD,2019
3516,Aparna Sengupta,BJP,1,10th Pass,50,4633403,440482,NIRSA,JHARKHAND,DHANBAD,2019
3517,Indrajit Mahato,BJP,1,Graduate,47,10025667,0,SINDRI,JHARKHAND,DHANBAD,2019
3518,Mathura Prasad Mahato,JMM,0,10th Pass,52,21084445,0,TUNDI,JHARKHAND,DHANBAD,2019
3519,Hemant Soren,JMM,2,12th Pass,42,85174195,250000,DUMKA (ST),JHARKHAND,DUMKA,2019
3520,Basant Soren,JMM,0,10th Pass,41,59671765,25243906,DUMKA (ST),JHARKHAND,DUMKA,2019
3521,Sita Murmu,JMM,3,12th Pass,44,42367444,0,JAMA (ST),JHARKHAND,DUMKA,2019
3522,Badal,INC,0,12th Pass,43,3441201,109920,JARMUNDI,JHARKHAND,DUMKA,2019
3523,Nalin Soren,JMM,2,12th Pass,71,26600771,5743239,SIKARIPARA (ST),JHARKHAND,DUMKA,2019
3524,Samir Kumar Mohanty,JMM,3,Graduate,49,664917,430899,BAHARAGORA,JHARKHAND,EAST SINGHBHUM,2019
3525,Ramdas Soren,JMM,5,Graduate,56,96036413,654000,GHATSILA (ST),JHARKHAND,EAST SINGHBHUM,2019
3526,Saryu Roy,IND,0,Post Graduate,68,43556974,0,JAMSHEDPUR EAST,JHARKHAND,EAST SINGHBHUM,2019
3527,Banna Gupta,INC,4,10th Pass,47,41168807,4144500,JAMSHEDPUR WEST,JHARKHAND,EAST SINGHBHUM,2019
3528,Mangal Kalindi,JMM,0,10th Pass,42,30000,0,JUGSALAI (SC),JHARKHAND,EAST SINGHBHUM,2019
3529,Sanjib Sardar,JMM,3,12th Pass,36,1570896,0,POTKA (ST),JHARKHAND,EAST SINGHBHUM,2019
3530,Bhanu Pratap Shahi,BJP,6,Graduate,44,45696152,7269500,BHAWANATHPUR,JHARKHAND,GARHWA,2019
3531,Mithilesh Kumar Thakur,JMM,2,Graduate,53,106153429,3648549,GARHWA,JHARKHAND,GARHWA,2019
3532,Vinod Kumar Singh,CPI(ML)(L),2,Post Graduate,43,2671322,0,BAGODAR,JHARKHAND,GIRIDIH,2019
3533,Babulal Marandi,JVM(P),9,Graduate,61,11113860,0,DHANWAR,JHARKHAND,GIRIDIH,2019
3534,Bebi Devi,JMM,0,Literate,48,8240645,238326,DUMRI,JHARKHAND,GIRIDIH,2019
3535,Dr Sarfraz Ahmad,JMM,0,Post Graduate,66,4352374,0,GANDEY,JHARKHAND,GIRIDIH,2019
3536,Sudivya Kumar,JMM,1,12th Pass,49,38075695,5264458,GIRIDIH,JHARKHAND,GIRIDIH,2019
3537,Kedar Hazra,BJP,0,Graduate,58,13562448,1400000,JAMUA (SC),JHARKHAND,GIRIDIH,2019
3538,Amit Kumar Mandal,BJP,0,Post Graduate,34,75705954,4397482,GODDA,JHARKHAND,GODDA,2019
3539,Deepika Pandey Singh,INC,2,Graduate Professional,44,48018440,7892179,MAHAGAMA,JHARKHAND,GODDA,2019
3540,Pradeep Yadav,JVM(P),14,Graduate,53,13993061,0,POREYAHAT,JHARKHAND,GODDA,2019
3541,Chamra Linda,JMM,1,Graduate,49,5817180,336393,BISHUNPUR (ST),JHARKHAND,GUMLA,2019
3542,Bhushan Tirkey,JMM,2,10th Pass,49,19305978,2933459,GUMLA (ST),JHARKHAND,GUMLA,2019
3543,Jiga Susaran Horo,JMM,1,10th Pass,50,5798519,0,SISAI (ST),JHARKHAND,GUMLA,2019
3544,Umashankar Akela,INC,5,Graduate,61,5032762,0,BARHI,JHARKHAND,HAZARIBAGH,2019
3545,Amit Kumar Yadav S/O Chitranjan Yadav,IND,0,Graduate,35,15365280,4125522,BARKATHA,JHARKHAND,HAZARIBAGH,2019
3546,Manish Jaiswal,BJP,1,Graduate,54,270455104,53811296,HAZARIBAGH,JHARKHAND,HAZARIBAGH,2019
3547,Jai Prakash Bhai Patel,BJP,2,Graduate,37,36681220,6251185,MANDU,JHARKHAND,HAZARIBAGH,2019
3548,Irfan Ansari,INC,5,Post Graduate,44,26641162,3493231,JAMTARA,JHARKHAND,JAMTARA,2019
3549,Rabindra Nath Mahato,JMM,0,Graduate Professional,60,7189118,42619,NALA,JHARKHAND,JAMTARA,2019
3550,Nilkanth Singh Munda,BJP,0,Graduate,51,43700254,8707609,KHUNTI (ST),JHARKHAND,KHUNTI,2019
3551,Koche Munda,BJP,0,Post Graduate,61,8351718,740000,TORPA (ST),JHARKHAND,KHUNTI,2019
3552,Dr.Neera Yadav,BJP,0,Doctorate,48,36551752,5344073,KODERMA,JHARKHAND,KODERMA,2019
3553,Baidyanath Ram,JMM,0,Graduate,52,22546856,336070,LATEHAR (SC),JHARKHAND,LATEHAR,2019
3554,Ramchandra Singh,INC,0,Graduate,54,12387749,2700000,MANIKA (ST),JHARKHAND,LATEHAR,2019
3555,Rameshwar Oraon,INC,0,Doctorate,72,280172876,1838459,LOHARDAGA (ST),JHARKHAND,LOHARDAGA,2019
3556,Dinesh William Marandi,JMM,0,Graduate Professional,34,18874842,1202509,LITIPARA (ST),JHARKHAND,PAKUR,2019
3557,Stephen Marandi,JMM,0,Post Graduate,66,40519858,3660989,MAHESHPUR (ST),JHARKHAND,PAKUR,2019
3558,Alamgir Alam,INC,0,Graduate,69,70268398,3913846,PAKUR,JHARKHAND,PAKUR,2019
3559,Ramchandra Chandravanshi,BJP,0,12th Pass,72,26700172,0,BISHRAMPUR,JHARKHAND,PALAMU,2019
3560,Pushpa Devi,BJP,0,Literate,46,5839686,2112042,CHHATARPUR (SC),JHARKHAND,PALAMU,2019
3561,Alok Kumar Chaurasiya,BJP,0,12th Pass,29,37480000,2.00E+06,DALTONGANJ,JHARKHAND,PALAMU,2019
3562,Kamlesh Kumar Singh,NCP,3,10th Pass,60,37132033,29597298,HUSSAINABAD,JHARKHAND,PALAMU,2019
3563,Kushwaha Shashi Bhushan Mehta,BJP,11,Doctorate,50,270794561,13761184,PANKI,JHARKHAND,PALAMU,2019
3564,Amba Prasad,INC,1,Graduate Professional,31,474247,0,BARKAGAON,JHARKHAND,RAMGARH,2019
3565,Mamta Devi,INC,4,Graduate,34,9112652,906279,RAMGARH,JHARKHAND,RAMGARH,2019
3566,Sunita Choudhary,AJSU Party,0,Post Graduate,49,23749552,6700000,RAMGARH,JHARKHAND,RAMGARH,2019
3567,Navin Jaiswal,BJP,1,12th Pass,47,54004000,18052000,HATIA,JHARKHAND,RANCHI,2019
3568,Sammari Lal,BJP,0,Post Graduate,57,1497927,0,KANKE (SC),JHARKHAND,RANCHI,2019
3569,Rajesh Kachhap,INC,0,Graduate,41,22892146,1218309,KHIJRI (ST),JHARKHAND,RANCHI,2019
3570,Bandhu Tirkey,JVM(P),10,Graduate,59,1546299,910025,MANDAR (ST),JHARKHAND,RANCHI,2019
3571,Shilpi Neha Tirkey,INC,0,Graduate,29,6766641,494636,MANDAR (ST),JHARKHAND,RANCHI,2019
3572,Chandreshwar Prasad Singh,BJP,0,Graduate Professional,63,56920037,7.00E+06,RANCHI,JHARKHAND,RANCHI,2019
3573,Sudesh Kumar Mahto,AJSU Party,1,Post Graduate,44,185773000,34217000,SILLI,JHARKHAND,RANCHI,2019
3574,Vikas Kumar Munda,JMM,0,Graduate,35,5161090,1951112,TAMAR (ST),JHARKHAND,RANCHI,2019
3575,Hemant Soren,JMM,2,12th Pass,42,85174195,250000,BARHAIT (ST),JHARKHAND,SAHEBGANJ,2019
3576,Lobin Hembrom,JMM,2,10th Pass,68,12295427,0,BORIO (ST),JHARKHAND,SAHEBGANJ,2019
3577,Anant Kumar Ojha,BJP,0,Graduate,46,5981909,0,RAJMAHAL,JHARKHAND,SAHEBGANJ,2019
3578,Sabita Mahato,JMM,0,8th Pass,45,46453543,1.00E+06,ICHAGARH,JHARKHAND,SARAIKELA KHARSAWAN,2019
3579,Dashrath Gagrai,JMM,6,Graduate,43,40042565,2.00E+06,KHARSAWAN (ST),JHARKHAND,SARAIKELA KHARSAWAN,2019
3580,Champai Soren,JMM,1,10th Pass,63,25520905,8459003,SERAIKELLA (ST),JHARKHAND,SARAIKELA KHARSAWAN,2019
3581,Naman Bixal Kongari,INC,2,Graduate Professional,47,4605875,82527,KOLEBIRA (ST),JHARKHAND,SIMDEGA,2019
3582,Bhushan Bara,INC,2,Graduate,46,3873447,3179873,SIMDEGA (ST),JHARKHAND,SIMDEGA,2019
3583,Deepak Birua,JMM,0,Graduate,51,17926158,525000,CHAIBASA (ST),JHARKHAND,WEST SINGHBHUM,2019
3584,Sukhram Oraon,JMM,1,Post Graduate,53,19220087,1157517,CHAKRADHARPUR (ST),JHARKHAND,WEST SINGHBHUM,2019
3585,Sona Ram Sinku,INC,0,8th Pass,45,2165352,522012,JAGANATHPUR (ST),JHARKHAND,WEST SINGHBHUM,2019
3586,Niral Purty,JMM,0,12th Pass,50,17547250,0,MAJHGAON (ST),JHARKHAND,WEST SINGHBHUM,2019
3587,Joba Majhi,JMM,0,10th Pass,55,11981426,474775,MANOHARPUR (ST),JHARKHAND,WEST SINGHBHUM,2019
3588,Sangram Arunkaka Jagtap,NCP,1,Graduate,35,104216455,33902755,AHMEDNAGAR CITY,MAHARASHTRA,AHMEDNAGAR,2019
3589,Dr. Kiran Yamaji Lahamate,NCP,0,Graduate Professional,45,5211079,1752452,AKOLE,MAHARASHTRA,AHMEDNAGAR,2019
3590,Rohit Pawar,NCP,0,Graduate Professional,34,594575227,37400682,KARJAT JAMKHED,MAHARASHTRA,AHMEDNAGAR,2019
3591,Ashutosh Ashokrao Kale,NCP,2,Post Graduate,34,182559681,8888950,KOPARGAON,MAHARASHTRA,AHMEDNAGAR,2019
3592,Shankarrao Yashwantrao Gadakh,Krantikari Shetkari Party,4,Graduate,49,44052580,571055,NEVASA,MAHARASHTRA,AHMEDNAGAR,2019
3593,Nilesh Dnyandev Lanke,NCP,4,Graduate,39,7550409,3228989,PARNER,MAHARASHTRA,AHMEDNAGAR,2019
3594,Prajakt Prasadrao Tanpure,NCP,2,Post Graduate,43,69152712,30452611,RAHURI,MAHARASHTRA,AHMEDNAGAR,2019
3595,Vijay Alias Balasaheb Bhausaheb Thorat,INC,0,Graduate Professional,66,120887931,1701263,SANGMNER,MAHARASHTRA,AHMEDNAGAR,2019
3596,Monica Rajeev Rajale,BJP,0,Graduate,47,94946745,18129044,SHEVGAON,MAHARASHTRA,AHMEDNAGAR,2019
3597,Vikhe Patil Radhakrishna Eknathrao,BJP,0,Graduate,60,247826279,0,SHIRDI,MAHARASHTRA,AHMEDNAGAR,2019
3598,Pachpute Babanrao Bhikaji,BJP,27,Graduate,66,86869974,19589050,SHRIGONDA,MAHARASHTRA,AHMEDNAGAR,2019
3599,Kanade Lahu Natha,INC,1,Post Graduate,65,92001564,18500000,SHRIRAMPUR (SC),MAHARASHTRA,AHMEDNAGAR,2019
3600,Govardhan Mangilal Sharma Alias Lalaji,BJP,1,Graduate,70,59157652,19705877,AAKOLA WEST,MAHARASHTRA,AKOLA,2019
3601,Randhir Pralhadrao Sawarkar,BJP,1,Graduate Professional,45,170221142,87041411,AKOLA EAST,MAHARASHTRA,AKOLA,2019
3602,Prakash Gunwantrao Bharsakale,BJP,0,8th Pass,67,134077697,1542676,AKOT,MAHARASHTRA,AKOLA,2019
3603,Nitin Bhikanrao Tale,SHS,5,12th Pass,46,16154600,33370,BALAPUR,MAHARASHTRA,AKOLA,2019
3604,Harish Marotiappa Pimpale,BJP,0,12th Pass,42,19935370,2806668,MURTIZAPUR (SC),MAHARASHTRA,AKOLA,2019
3605,Omprakash Babarao Kadu(Bachchu),Prahar Janshakti Party,32,12th Pass,49,26139529,10844761,ACHALPUR,MAHARASHTRA,AMARAVATI,2019
3606,Sulbha Sanjay Khodke,INC,1,Post Graduate,56,62276412,15864987,AMRAVATI,MAHARASHTRA,AMARAVATI,2019
3607,Ravi Rana,IND,7,12th Pass,40,128818825,78016373,BADNERA,MAHARASHTRA,AMARAVATI,2019
3608,Balwant Baswant Wankhade,INC,1,12th Pass,52,11026622,485000,DARYAPUR (SC),MAHARASHTRA,AMARAVATI,2019
3609,Adsad Pratap Arunbhau,BJP,3,Graduate Professional,41,42092701,0,DHAMANGAON RAILWAY,MAHARASHTRA,AMARAVATI,2019
3610,Rajkumar Dayaram Patel,Prahar Janshakti Party,12,Post Graduate,57,20245700,0,MELGHAT (ST),MAHARASHTRA,AMARAVATI,2019
3611,Devendra Mahadevrao Bhuyar,Swabhimani Paksha,11,12th Pass,30,2929000,6.00E+05,MORSHI,MAHARASHTRA,AMARAVATI,2019
